track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
6iuZAru9kkP64IVM89Vp6L,Unbreakable - Acoustic Version,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.603,0.463,0,0,-7.283,0.0268,0.0876,0.0,0.191,0.555,92.937,197813,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
4si7SQjBaX7nCGKJrZoq11,With You - Acoustic Version,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.508,0.495,0,0,-6.628,0.0322,0.111,0.0,0.106,0.208,175.014,184083,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
0uvmdL5gaE0K6e0dXsqwO2,Fire and Water (feat. Lisa McClowry & Dave Mikulskis),3,hard-rock,Jim Peterik And World Stage,7,1329,['melodic hard rock'],"Roots & Shoots, Vol. 1",0.434,0.67,7,1,-6.079,0.0316,0.151,0.0,0.11,0.455,146.029,257947,4,2ZhzlGcrktVfwnDe8TPqIC,spotify:album:4TUhlu97IBQtzg1VO9GyZ3
0CRV1C9rWYPnMH8RyOJYo1,Love Her Madly,2,hard-rock,The Doors,70,7752264,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",70s Radio Hits,0.565,0.587,4,0,-7.393,0.0317,0.0573,0.00493,0.0416,0.966,147.462,198467,4,22WZ7M8sxp5THdruNY3gXt,spotify:album:39eidRWmvO59tkw2tZdUP1
7AVyK6PmBCTJdBKVXTx8sR,You and Me,0,hard-rock,Alice Cooper,60,3647196,"['album rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']",Éxitos de los setenta,0.64,0.388,10,1,-11.521,0.0287,0.457,1.98e-06,0.0942,0.368,113.084,205973,4,3EhbVgyfGd7HkpsagwL9GS,spotify:album:3YR8P3PGMvOvVglx0aF456
0OeISgZiICt2NYAt5y5CCl,Easy,5,hard-rock,Faith No More,58,1793343,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",70s & 80s & 90s - Top 100 - Greatest Hits,0.482,0.554,10,0,-6.743,0.0343,0.346,0.000355,0.112,0.374,124.687,186960,4,6GbCJZrI318Ybm8mY36Of5,spotify:album:2M7Ur4jsGJVZFtIlQfxZHA
1gdAqo6QOLJiAOhU6YGGpj,Pride and Joy,1,hard-rock,Stevie Ray Vaughan,59,2422695,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'instrumental rock', 'rock', 'texas blues']",BBQ Classics,0.414,0.565,8,1,-14.241,0.0413,0.0206,0.00777,0.0941,0.749,126.264,220600,4,5fsDcuclIe8ZiBD5P787K1,spotify:album:6vzk2MkJ9QUnXoffyvd1fd
1VHN7adQhijituOxobbiBw,Come and get it,9,hard-rock,Autumn's Child,17,2020,['melodic hard rock'],Tellus Timeline,0.481,0.829,7,1,-7.354,0.0502,0.0035,1.69e-05,0.343,0.332,133.011,219600,4,7cSv1X4FZL2xH7No56NhFM,spotify:album:0f9aHC3PR0ebsHadH6oc7j
6HUWADXnhAXQHbKa5PqN3u,Me and Bobby McGee,4,hard-rock,Janis Joplin,59,3302385,"['album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock', 'singer-songwriter']",Classic Rock BBQ,0.414,0.636,2,1,-6.932,0.0483,0.448,2.64e-05,0.126,0.612,93.073,268347,4,4NgfOZCL9Ml67xzM0xzIvC,spotify:album:4d7Q7Nm6828BUEr5pGTdDp
0CdovXG77ELO9C3LS1H7aV,Me and Bobby McGee,1,hard-rock,Janis Joplin,59,3302385,"['album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock', 'singer-songwriter']",70s 80s 90s Summer Roadtrip,0.414,0.636,2,1,-6.932,0.0483,0.448,2.64e-05,0.126,0.612,93.073,268347,4,4NgfOZCL9Ml67xzM0xzIvC,spotify:album:3DuMYRWWFRd2ofFvJxX38I
